timestamp_ms,current_mA,voltage_mV,temperature_C,temperature_valid,wheel_speed_valid,wheel_speed_kmph,wheel_rpm,wheel_spoke_count,ax_x100,ay_x100,az_x100,amag_x100,gps_location_valid,gps_lat,gps_long,gps_alt_m,gps_speed_kmph,gps_hdop,gps_sats,gps_time_valid,gps_time_utc,gps_centisecond
3210090,33,24289,40.53,1,1,0.00,0.0,37718,133,-972,-63,983,1,43.6610562,-79.3950035,107.10,0.11,0.70,12,1,00:48:30,00
3210387,28,24289,40.54,1,1,0.00,0.0,37718,127,-974,-48,983,1,43.6610562,-79.3950035,107.10,0.11,0.72,12,1,00:48:30,00
3210681,26,24289,40.51,1,1,0.00,0.0,37718,125,-971,-61,981,1,43.6610562,-79.3950035,107.10,0.11,0.72,12,1,00:48:30,00
3210977,19,24289,40.59,1,1,0.00,0.0,37718,130,-970,-53,980,1,43.6610562,-79.3950035,107.10,0.11,0.72,12,1,00:48:30,00
3211271,17,24289,40.60,1,1,0.00,0.0,37718,129,-971,-58,981,1,43.6610562,-79.3950032,107.10,0.06,0.66,12,1,00:48:31,00
3211566,39,24289,40.60,1,1,0.00,0.0,37718,127,-971,-48,980,1,43.6610562,-79.3950032,107.10,0.06,0.66,12,1,00:48:31,00
3211863,41,24289,40.57,1,1,0.00,0.0,37718,131,-970,-60,981,1,43.6610562,-79.3950032,107.10,0.06,0.66,12,1,00:48:31,00
3212230,27,24289,40.68,1,1,0.00,0.0,37718,131,-971,-52,981,1,43.6610555,-79.3950022,107.20,0.54,0.66,12,1,00:48:32,00
3212527,40,24289,40.69,1,1,0.00,0.0,37718,131,-972,-61,982,1,43.6610555,-79.3950022,107.20,0.54,0.66,12,1,00:48:32,00
3212820,30,24289,40.65,1,1,0.00,0.0,37718,131,-972,-52,982,1,43.6610555,-79.3950022,107.20,0.54,0.66,12,1,00:48:32,00
3213119,34,24289,40.73,1,1,0.00,0.0,37718,127,-971,-46,980,1,43.6610537,-79.3950027,107.20,0.74,0.66,12,1,00:48:33,00
3213413,34,24289,40.74,1,1,0.00,0.0,37718,132,-970,-56,981,1,43.6610537,-79.3950027,107.90,0.74,0.72,12,1,00:48:33,00
3213702,8,24289,40.69,1,1,0.00,0.0,37718,132,-969,-56,979,1,43.6610537,-79.3950027,107.90,0.74,0.72,12,1,00:48:33,00
3213997,19,24289,40.75,1,1,0.00,0.0,37718,135,-969,-59,980,1,43.6610537,-79.3950027,107.90,0.74,0.72,12,1,00:48:33,00
3214292,14,24289,40.75,1,1,0.00,0.0,37718,135,-969,-70,981,1,43.6610535,-79.3950032,107.90,0.15,0.68,12,1,00:48:34,00
3214600,35,24289,40.78,1,1,0.00,0.0,37718,137,-970,-59,981,1,43.6610535,-79.3950032,107.90,0.15,0.68,12,1,00:48:34,00
3214905,40,24289,40.88,1,1,0.00,0.0,37718,128,-971,-57,982,1,43.6610535,-79.3950032,107.90,0.15,0.68,12,1,00:48:34,00
3215200,36,24289,40.87,1,1,0.00,0.0,37718,130,-970,-50,980,1,43.6610527,-79.3950028,108.00,0.31,0.66,12,1,00:48:35,00
3215496,34,24289,40.87,1,1,0.00,0.0,37718,134,-970,-54,981,1,43.6610527,-79.3950028,108.00,0.31,0.66,12,1,00:48:35,00
3215793,39,24289,40.85,1,1,0.00,0.0,37718,132,-971,-55,981,1,43.6610527,-79.3950028,108.00,0.31,0.66,12,1,00:48:35,00
3216102,31,24289,40.85,1,1,0.00,0.0,37718,130,-971,-54,981,1,43.6610523,-79.3950022,108.00,0.09,0.70,12,1,00:48:36,00
3216397,28,24289,40.85,1,1,0.00,0.0,37718,130,-971,-53,981,1,43.6610523,-79.3950022,108.00,0.09,0.70,12,1,00:48:36,00
3216699,13,24289,40.92,1,1,0.00,0.0,37718,132,-972,-54,982,1,43.6610523,-79.3950022,108.00,0.09,0.70,12,1,00:48:36,00
3217065,34,24289,40.92,1,1,0.00,0.0,37718,132,-970,-53,981,1,43.6610523,-79.3950022,108.00,0.04,0.70,12,1,00:48:37,00
3217357,22,24289,40.90,1,1,0.00,0.0,37718,132,-970,-53,980,1,43.6610523,-79.3950022,107.80,0.04,0.72,12,1,00:48:37,00
3217654,37,24289,40.94,1,1,0.00,0.0,37718,130,-970,-53,980,1,43.6610523,-79.3950022,107.80,0.04,0.72,12,1,00:48:37,00
3217947,24,24289,40.90,1,1,0.00,0.0,37718,133,-970,-54,981,1,43.6610523,-79.3950022,107.80,0.04,0.72,12,1,00:48:37,00
3218251,22,24289,40.93,1,1,0.00,0.0,37718,131,-971,-54,981,1,43.6610517,-79.3950023,107.80,0.02,0.66,12,1,00:48:38,00
