timestamp_ms,source_timestamp_ms,current_mA,voltage_mV,motor_temperature_C,motor_temperature_valid,wheel_speed_valid,wheel_speed_kph,wheel_rpm,wheel_spoke_count,ax_x100,ay_x100,az_x100,amag_x100,source_file
0,2007128,14,24289,44.14,1,1,0.29,3.0,20790,89,-983,-31,987,2026-08-06-00-28.csv
310,2007438,2,24289,44.15,1,1,0.35,3.6,20791,142,-972,-25,983,2026-08-06-00-28.csv
611,2007739,13,24289,44.11,1,1,0.35,3.6,20791,123,-963,-55,973,2026-08-06-00-28.csv
913,2008041,5,24289,44.1,1,1,0.35,3.6,20791,123,-970,-53,979,2026-08-06-00-28.csv
1285,2008413,14,24289,44.06,1,1,0.35,3.6,20791,128,-974,-44,984,2026-08-06-00-28.csv
1583,2008711,4,24289,44.02,1,1,0.35,3.6,20791,127,-969,-46,978,2026-08-06-00-28.csv
1883,2009011,7,24289,43.99,1,1,0.35,3.6,20791,127,-970,-56,980,2026-08-06-00-28.csv
2189,2009317,6,24289,43.97,1,1,0.35,3.6,20791,130,-970,-59,980,2026-08-06-00-28.csv
2498,2009626,6,24289,43.95,1,1,0.0,0.0,20791,128,-969,-60,980,2026-08-06-00-28.csv
2802,2009930,10,24289,43.97,1,1,0.0,0.0,20791,127,-971,-55,981,2026-08-06-00-28.csv
3103,2010231,9,24289,43.94,1,1,0.0,0.0,20791,127,-971,-58,981,2026-08-06-00-28.csv
3414,2010542,16,24289,43.96,1,1,0.0,0.0,20791,128,-969,-57,979,2026-08-06-00-28.csv
3716,2010844,5,24289,43.96,1,1,0.0,0.0,20791,128,-969,-57,979,2026-08-06-00-28.csv
4020,2011148,0,24289,43.93,1,1,0.0,0.0,20791,130,-970,-57,980,2026-08-06-00-28.csv
4327,2011455,2,24289,43.97,1,1,0.0,0.0,20791,129,-969,-58,980,2026-08-06-00-28.csv
4638,2011766,-2,24289,43.92,1,1,0.0,0.0,20791,130,-970,-59,980,2026-08-06-00-28.csv
4947,2012075,6,24289,43.93,1,1,0.0,0.0,20791,127,-969,-59,979,2026-08-06-00-28.csv
5255,2012383,7,24289,43.92,1,1,0.0,0.0,20791,128,-969,-59,979,2026-08-06-00-28.csv
5560,2012688,9,24289,43.9,1,1,0.0,0.0,20791,128,-969,-57,979,2026-08-06-00-28.csv
5868,2012996,11,24289,43.93,1,1,0.0,0.0,20791,130,-969,-56,980,2026-08-06-00-28.csv
6241,2013369,10,24289,43.92,1,1,0.0,0.0,20791,130,-969,-62,980,2026-08-06-00-28.csv
6542,2013670,8,24289,43.87,1,1,0.0,0.0,20791,127,-967,-60,977,2026-08-06-00-28.csv
6852,2013980,-3,24289,43.88,1,1,0.0,0.0,20791,132,-971,-60,982,2026-08-06-00-28.csv
7154,2014282,2,24289,43.89,1,1,0.0,0.0,20791,136,-967,-55,978,2026-08-06-00-28.csv
7464,2014592,0,24289,43.9,1,1,0.0,0.0,20791,127,-969,-56,979,2026-08-06-00-28.csv
7781,2014909,0,24289,43.9,1,1,0.0,0.0,20791,129,-970,-54,980,2026-08-06-00-28.csv
8088,2015216,2,24289,43.88,1,1,0.0,0.0,20791,129,-970,-57,980,2026-08-06-00-28.csv
8392,2015520,4,24289,43.86,1,1,0.0,0.0,20791,130,-970,-57,980,2026-08-06-00-28.csv
8697,2015825,7,24289,43.85,1,1,0.0,0.0,20791,130,-972,-58,982,2026-08-06-00-28.csv
9025,2016153,4,24289,43.88,1,1,0.0,0.0,20791,129,-970,-57,980,2026-08-06-00-28.csv
9331,2016459,9,24289,43.83,1,1,0.0,0.0,20791,128,-968,-55,978,2026-08-06-00-28.csv
9637,2016765,4,24289,43.8,1,1,0.0,0.0,20791,135,-967,-60,978,2026-08-06-00-28.csv
9949,2017077,5,24289,43.77,1,1,0.0,0.0,20791,130,-973,-58,983,2026-08-06-00-28.csv
10261,2017389,1,24289,43.73,1,1,0.0,0.0,20791,130,-970,-57,981,2026-08-06-00-28.csv
10567,2017695,-3,24289,43.72,1,1,0.0,0.0,20791,130,-971,-56,981,2026-08-06-00-28.csv
10880,2018008,-3,24289,43.75,1,1,0.0,0.0,20791,124,-971,-37,980,2026-08-06-00-28.csv
11262,2018390,3,24289,43.76,1,1,0.0,0.0,20791,123,-969,-43,978,2026-08-06-00-28.csv
11572,2018700,9,24289,43.77,1,1,0.0,0.0,20791,132,-970,-62,981,2026-08-06-00-28.csv
11890,2019018,10,24289,43.74,1,1,0.0,0.0,20791,130,-967,-53,977,2026-08-06-00-28.csv
12241,2019369,7,24289,43.7,1,1,0.0,0.0,20791,130,-968,-51,978,2026-08-06-00-28.csv
12534,2019662,3,24289,43.65,1,1,0.0,0.0,20791,130,-971,-53,981,2026-08-06-00-28.csv
12824,2019952,4,24289,43.63,1,1,0.0,0.0,20791,130,-971,-58,981,2026-08-06-00-28.csv
13116,2020244,6,24289,43.61,1,1,0.0,0.0,20791,132,-970,-55,980,2026-08-06-00-28.csv
13414,2020542,10,24289,43.6,1,1,0.0,0.0,20791,132,-969,-57,980,2026-08-06-00-28.csv
13706,2020834,4,24289,43.58,1,1,0.0,0.0,20791,126,-971,-61,981,2026-08-06-00-28.csv
14000,2021128,6,24289,43.59,1,1,0.0,0.0,20791,139,-970,-49,981,2026-08-06-00-28.csv
14294,2021422,10,24289,43.61,1,1,0.0,0.0,20791,132,-970,-65,981,2026-08-06-00-28.csv
14589,2021717,-1,24289,43.58,1,1,0.0,0.0,20791,136,-969,-66,981,2026-08-06-00-28.csv
14893,2022021,11,24289,43.56,1,1,0.0,0.0,20791,134,-973,-58,983,2026-08-06-00-28.csv
15189,2022317,14,24289,43.55,1,1,0.0,0.0,20791,131,-970,-47,980,2026-08-06-00-28.csv
15490,2022618,8,24289,43.56,1,1,0.0,0.0,20791,129,-969,-54,979,2026-08-06-00-28.csv
15787,2022915,11,24289,43.6,1,1,0.0,0.0,20791,128,-971,-62,982,2026-08-06-00-28.csv
16150,2023278,19,24289,43.6,1,1,0.0,0.0,20791,131,-967,-56,977,2026-08-06-00-28.csv
16447,2023575,21,24289,43.66,1,1,0.0,0.0,20791,131,-970,-62,981,2026-08-06-00-28.csv
16737,2023865,18,24289,43.65,1,1,0.0,0.0,20791,150,-965,-59,978,2026-08-06-00-28.csv
17030,2024158,11,24289,43.65,1,1,0.0,0.0,20791,116,-977,-32,984,2026-08-06-00-28.csv
17318,2024446,23,24289,43.65,1,1,0.0,0.0,20791,129,-969,-50,978,2026-08-06-00-28.csv
17617,2024745,13,24289,43.64,1,1,0.0,0.0,20791,127,-969,-49,979,2026-08-06-00-28.csv
17907,2025035,27,24289,43.64,1,1,0.0,0.0,20791,124,-965,-37,974,2026-08-06-00-28.csv
18204,2025332,25,24289,43.61,1,1,0.0,0.0,20791,132,-971,-48,981,2026-08-06-00-28.csv
18498,2025626,13,24289,43.59,1,1,0.0,0.0,20791,127,-964,-49,974,2026-08-06-00-28.csv
18793,2025921,15,24289,43.52,1,1,0.0,0.0,20791,126,-969,-27,977,2026-08-06-00-28.csv
19085,2026213,21,24289,43.49,1,1,0.0,0.0,20791,133,-971,-74,982,2026-08-06-00-28.csv
19384,2026512,18,24289,43.44,1,1,0.0,0.0,20791,125,-965,-60,975,2026-08-06-00-28.csv
19687,2026815,1,24289,43.41,1,1,0.0,0.0,20791,132,-967,-54,977,2026-08-06-00-28.csv
19992,2027120,1,24289,43.38,1,1,0.0,0.0,20791,134,-970,-57,981,2026-08-06-00-28.csv
20292,2027420,11,24289,43.34,1,1,0.0,0.0,20791,129,-971,-52,981,2026-08-06-00-28.csv
20592,2027720,4,24289,43.34,1,1,0.0,0.0,20791,132,-969,-60,979,2026-08-06-00-28.csv
20955,2028083,-4,24289,43.35,1,1,0.0,0.0,20791,130,-970,-60,980,2026-08-06-00-28.csv
21248,2028376,-5,24289,43.35,1,1,0.0,0.0,20791,135,-966,-71,978,2026-08-06-00-28.csv
21543,2028671,2,24289,43.36,1,1,0.0,0.0,20791,129,-970,-55,980,2026-08-06-00-28.csv
