timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20909,-81,24288,99,-974,55,981
21507,-90,24288,112,-976,46,983
22104,-107,24288,107,-980,36,987
22701,-99,24288,108,-979,40,986
23304,-98,24288,113,-971,51,979
23902,-98,24288,110,-980,57,988
24500,-99,24288,110,-974,43,981
25098,-98,24288,115,-976,52,984
25701,-92,24288,116,-975,49,983
26298,-87,24288,112,-974,49,982
26899,-92,24288,115,-974,44,982
27496,-91,24288,109,-977,50,984
28103,-90,24288,109,-973,55,981
28700,-99,24288,116,-973,50,981
29299,-99,24288,113,-974,51,982
29897,-101,24288,110,-973,49,981
30498,-99,24288,111,-975,49,982
31095,-90,24288,112,-981,49,989
31691,-93,24288,108,-978,43,985
32287,-97,24288,93,-976,77,983
32889,-93,24288,108,-975,46,982
33486,-89,24288,118,-971,52,980
34081,-92,24288,102,-973,56,980
34678,-87,24288,112,-971,43,978
35279,-94,24288,117,-977,39,985
35876,-90,24288,113,-977,40,984
36474,-92,24288,107,-974,53,981
37070,-84,24288,112,-975,45,983
37671,-76,24288,116,-977,50,985
38267,-84,24288,117,-974,46,982
38866,-86,24288,130,-969,27,978
39464,-85,24288,116,-975,44,983
40067,-88,24288,110,-974,44,981
40663,-91,24288,107,-976,50,983
41261,-93,24288,112,-976,42,984
41858,-96,24288,118,-973,43,981
42460,-91,24288,115,-978,55,986
43059,-88,24288,119,-969,41,978
43656,-94,24288,115,-979,55,987
44253,-90,24288,105,-981,54,988
44855,-89,24288,87,-980,53,985
45452,-88,24288,105,-975,49,982
46050,-84,24288,120,-971,50,980
46652,-83,24288,115,-973,50,981
47255,-83,24288,109,-976,51,983
47852,-85,24288,100,-979,45,985
48451,-82,24288,102,-975,39,982
49049,-83,24288,113,-975,50,983
49652,-88,24288,110,-973,50,980
50251,-86,24288,110,-975,48,983
50850,-85,24288,109,-976,48,983
51447,-95,24288,108,-974,49,982
52050,-89,24288,109,-975,46,983
52648,-88,24288,112,-973,46,981
53246,-80,24288,108,-977,44,984
53844,-83,24288,110,-972,51,980
