idx,dist_m,lat,lon,x_m,y_m,segment,target_speed_kph,action,action_code,offtrack_radius_m
0,0.0,39.792626,-86.238441,0.0,0.0,1,19.0,accelerate,1,40.0
1,10.0,39.79255991343181,-86.2384883018245,-4.045882583808344,-7.305209247385154,1,19.0,accelerate,1,40.0
2,20.0,39.79247174444011,-86.2384973049378,-4.815948847249619,-17.051409590737546,1,19.0,accelerate,1,40.0
3,30.0,39.79238220639123,-86.23849038748338,-4.224275934037975,-26.948945512898934,1,19.0,accelerate,1,40.0
4,40.0,39.792292897792755,-86.238502,-5.21753315436389,-36.82111798871525,1,19.0,accelerate,1,40.0
5,50.0,39.792204975453096,-86.23847979836354,-3.318553247607183,-46.54005341441218,2,23.0,accelerate,1,40.0
6,60.0,39.792133055357716,-86.23853230624799,-7.809727476632863,-54.49010075781644,2,23.0,accelerate,1,40.0
7,70.0,39.79216101329181,-86.238626,-15.82366612345211,-51.39963072344108,2,23.0,accelerate,1,40.0
8,80.0,39.79224387921064,-86.23865487921064,-18.293801188707988,-42.239632055817744,2,23.0,accelerate,1,40.0
9,90.0,39.79233319493623,-86.23864330625887,-17.303928080947497,-32.36667174924884,2,23.0,accelerate,1,40.0
10,100.0,39.79242296361095,-86.23864041285907,-17.056445960839934,-22.44364244546836,3,26.0,accelerate,1,40.0
11,110.0,39.79251255183092,-86.23864037632578,-17.053321145827965,-12.540560610033165,3,26.0,accelerate,1,40.0
12,120.0,39.79260220289189,-86.23864956891097,-17.83959357288866,-2.6305323303297845,3,26.0,accelerate,1,40.0
13,130.0,39.792691793827316,-86.23865968483247,-18.70484202908769,7.272849671805259,3,26.0,accelerate,1,40.0
14,140.0,39.79278142334476,-86.23866839070236,-19.449484074101115,17.18049653023674,3,26.0,accelerate,1,40.0
15,150.0,39.79287125802456,-86.23867367526749,-19.901490529664027,27.110822035559075,4,24.0,coast,3,40.0
16,160.0,39.79296111754869,-86.2386781820666,-20.286972065948586,37.04389383273195,4,24.0,coast,3,40.0
17,170.0,39.793051025901754,-86.2386804135207,-20.477835767095506,46.98236317992627,4,24.0,coast,3,40.0
18,180.0,39.79314087361185,-86.2386850672009,-20.875880534700638,56.91412905335123,4,24.0,coast,3,40.0
19,190.0,39.793230757664766,-86.23868796653231,-21.123870005013398,66.84991226359979,4,24.0,coast,3,40.0
20,200.0,39.79332065338185,-86.23869112305039,-21.393857509516877,76.7869848299751,5,27.0,accelerate,1,40.0
21,210.0,39.79341048240005,-86.23869670427398,-21.871238149822478,86.71668450144703,5,27.0,accelerate,1,40.0
22,220.0,39.793500252982085,-86.2387036877485,-22.46855798425582,96.6399246401807,5,27.0,accelerate,1,40.0
23,230.0,39.79359014402402,-86.2387035071673,-22.453112272601388,106.57648041563866,5,27.0,accelerate,1,40.0
24,240.0,39.7936800599231,-86.23870261053743,-22.376420533155528,116.5157838995432,5,27.0,accelerate,1,40.0
25,250.0,39.793769888235026,-86.23870780802136,-22.8209786443282,126.44540550000316,6,25.0,coast,3,40.0
26,260.0,39.79385969910938,-86.23871085002344,-23.081171212668934,136.3730995509921,6,25.0,coast,3,40.0
27,270.0,39.79394959818185,-86.23871227361245,-23.20293552139104,146.31054302151074,6,25.0,coast,3,40.0
28,280.0,39.794039352451016,-86.2387194034251,-23.812772142300943,156.23197993565472,6,25.0,coast,3,40.0
29,290.0,39.79412926858372,-86.23871993414271,-23.858166187170294,166.17130924418,6,25.0,coast,3,40.0
30,300.0,39.794219197297636,-86.238719,-23.778265850876025,176.11202928079297,7,28.0,accelerate,1,40.0
31,310.0,39.79430912836436,-86.2387192927641,-23.8033069398024,186.05300939626815,7,28.0,accelerate,1,40.0
32,320.0,39.79439904506683,-86.23871878410475,-23.759799611181677,195.9924016881699,7,28.0,accelerate,1,40.0
33,330.0,39.7944889512339,-86.23871798645021,-23.691573562253513,205.93062939565118,7,28.0,accelerate,1,40.0
34,340.0,39.79457887600808,-86.238719,-23.778265850876025,215.87091393353558,7,28.0,accelerate,1,40.0
35,350.0,39.794668798092154,-86.2387204168215,-23.899451311846978,225.81090110716315,8,26.0,coast,3,40.0
36,360.0,39.79475865747448,-86.238724908183,-24.283612419525443,235.74395722927136,8,26.0,coast,3,40.0
37,370.0,39.794848265759605,-86.2387345862361,-25.111408532507973,245.6492570667168,8,26.0,coast,3,40.0
