timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
20899,0,24288,65,-980,30,982
21456,-1,24288,64,-980,32,982
22015,2,24288,64,-979,30,982
22572,-1,24288,63,-980,31,982
23134,-3,24288,65,-979,31,982
23691,2,24288,64,-979,30,982
24248,7,24288,54,-979,33,981
24805,13,24288,62,-978,30,981
25367,74,24288,64,-979,33,981
25924,436,24288,62,-979,31,981
26481,434,24288,63,-978,31,980
27038,460,24288,62,-980,31,982
27600,448,24288,64,-980,30,982
28157,402,24288,64,-979,32,982
28714,41,24288,63,-979,32,982
29273,6,24288,63,-980,32,982
29835,4,24288,63,-979,32,982
30392,80,24288,62,-982,30,984
30949,415,24288,62,-979,31,981
31506,443,24288,61,-982,27,984
32068,477,24288,63,-979,29,982
32625,467,24288,60,-983,32,985
33182,414,24288,66,-980,33,983
33739,24,24288,62,-979,34,982
34301,0,24288,64,-980,31,983
34858,11,24288,62,-979,33,982
35415,10,24288,62,-979,32,982
35972,7,24288,123,-988,-2,995
36534,7,24288,54,-978,42,981
37091,9,24288,58,-978,35,980
37648,137,24288,59,-976,33,979
38205,508,24288,66,-980,26,983
38769,835,24288,64,-979,37,982
39326,1258,24288,76,-976,19,980
39883,2794,24288,68,-971,28,974
40440,2314,24288,69,-981,31,984
41002,1073,24288,64,-985,28,987
41559,744,24288,69,-983,28,985
42116,736,24288,67,-978,32,980
42673,691,24288,66,-979,15,981
43235,697,24288,59,-978,29,980
43792,704,24288,56,-982,20,984
44349,682,24288,62,-983,34,986
44906,466,24288,69,-987,11,990
45468,5,24288,76,-968,41,972
46025,5,24288,61,-983,36,986
46582,7,24288,63,-980,29,982
47139,6,24288,66,-979,23,982
47701,4,24288,63,-980,30,982
48260,5,24288,65,-980,28,983
48817,5,24288,65,-980,28,982
49374,2,24288,63,-980,28,982
49936,3,24288,67,-979,30,982
50493,6,24288,68,-980,31,982
51050,7,24288,64,-979,28,982
51607,6,24288,66,-980,31,983
52169,10,24288,64,-978,26,981
52726,15,24288,74,-984,24,987
53283,13,24288,54,-980,29,982
53840,9,24288,61,-980,29,983
54402,13,24288,61,-979,35,982
54959,11,24288,53,-983,35,985
55516,16,24288,59,-982,29,985
56073,12,24288,59,-979,31,982
56635,11,24288,61,-979,30,982
57192,3,24288,60,-978,32,981
57751,0,24288,60,-979,30,982
58308,0,24288,60,-979,28,981
58870,-1,24288,60,-980,31,982
59427,-3,24288,60,-980,30,982
59984,-4,24288,59,-980,32,982
60541,3,24288,60,-979,32,982
61103,-2,24288,60,-979,31,982
61660,0,24288,60,-979,32,981
62217,1,24288,60,-980,31,982
62774,0,24288,59,-979,32,981
63336,6,24288,60,-979,32,981
63893,8,24288,61,-979,29,982
64450,11,24288,54,-986,0,987
65007,3,24288,5,-1000,-36,1000
